V007,2024-09-07 00:09:09,18.669166,73.183569,89.70,35.16
V007,2024-09-07 00:09:45,18.669143,73.183060,89.69,36.10
V007,2024-09-07 00:10:35,18.669318,73.182942,89.65,36.81
V007,2024-09-07 00:12:33,18.669563,73.183480,89.61,38.08
V007,2024-09-07 00:13:43,18.670409,73.184264,89.58,37.77
V007,2024-09-07 00:15:43,18.670634,73.184633,89.55,37.14
V007,2024-09-07 00:17:22,18.670912,73.184346,89.53,36.21
V007,2024-09-07 00:18:55,18.671214,73.185173,89.51,34.84
V007,2024-09-07 00:20:34,18.671999,73.185488,89.48,33.55
V007,2024-09-07 00:21:41,18.672022,73.186383,89.44,32.68
V007,2024-09-07 00:23:23,18.672668,73.186698,89.40,32.64
V007,2024-09-07 00:24:54,18.673063,73.186878,89.36,32.00
V007,2024-09-07 00:26:15,18.672900,73.187248,89.32,31.40
V007,2024-09-07 00:28:02,18.672998,73.187251,89.30,30.47
V007,2024-09-07 00:29:07,18.673334,73.187541,89.28,30.98
V007,2024-09-07 00:29:48,18.673380,73.187287,89.25,31.59
V007,2024-09-07 00:31:23,18.673947,73.188178,89.22,32.41
V007,2024-09-07 00:32:47,18.674690,73.188634,89.18,31.99
V007,2024-09-07 00:34:14,18.674892,73.188755,89.16,31.44
V007,2024-09-07 00:35:37,18.674920,73.189277,89.13,30.83
V007,2024-09-07 00:37:01,18.675035,73.189493,89.09,31.57
V007,2024-09-07 00:37:49,18.675442,73.189957,89.05,32.18
V007,2024-09-07 00:38:27,18.675990,73.189684,89.01,33.72
V007,2024-09-07 00:40:18,18.676523,73.190432,88.97,33.31
V007,2024-09-07 00:41:05,18.676759,73.190837,88.94,33.73
V007,2024-09-07 00:42:13,18.677471,73.190797,88.91,33.43
V007,2024-09-07 00:42:46,18.677388,73.191386,88.88,33.56
V007,2024-09-07 00:44:37,18.677507,73.191624,88.86,33.79
V007,2024-09-07 00:46:09,18.677992,73.191923,88.82,33.73
V007,2024-09-07 00:47:42,18.678482,73.192497,88.80,34.31
V007,2024-09-07 00:49:24,18.678474,73.192964,88.76,34.66
V007,2024-09-07 00:50:09,18.678695,73.192987,88.73,35.95
V007,2024-09-07 00:51:53,18.679301,73.193010,88.71,36.03
V007,2024-09-07 00:52:43,18.679545,73.192706,88.67,35.53
V007,2024-09-07 00:53:19,18.679941,73.192833,88.64,35.84
V007,2024-09-07 00:55:09,18.680248,73.193231,88.60,35.96
V007,2024-09-07 00:56:19,18.680242,73.193561,88.56,36.51
V007,2024-09-07 00:58:17,18.681023,73.194591,88.53,36.94
V007,2024-09-07 00:59:04,18.681274,73.194717,88.50,36.46
V007,2024-09-07 00:59:54,18.681657,73.195283,88.47,35.97
V007,2024-09-07 01:01:35,18.681607,73.195034,88.45,34.83
V007,2024-09-07 01:03:15,18.682418,73.195736,88.42,34.42
V007,2024-09-07 01:03:59,18.682943,73.196194,88.39,34.98
V007,2024-09-07 01:05:15,18.683712,73.196931,88.36,35.04
V007,2024-09-07 01:06:28,18.683600,73.196676,88.32,35.32
V007,2024-09-07 01:07:14,18.683607,73.196748,88.28,34.39
V007,2024-09-07 01:08:00,18.683459,73.197430,88.26,33.28
V007,2024-09-07 01:08:32,18.683917,73.198235,88.22,31.75
V007,2024-09-07 01:10:26,18.684633,73.198754,88.20,30.20
V007,2024-09-07 01:11:04,18.684567,73.198773,88.18,28.93
V007,2024-09-07 01:12:51,18.684659,73.198649,88.17,27.54
V007,2024-09-07 01:13:32,18.685501,73.198636,88.15,26.62
V007,2024-09-07 01:14:47,18.686091,73.198744,88.14,26.25
V007,2024-09-07 01:16:29,18.686537,73.199002,88.10,25.67
V007,2024-09-07 01:17:23,18.686980,73.199209,88.07,25.55
V007,2024-09-07 01:18:05,18.686693,73.200387,88.03,24.33
V007,2024-09-07 01:20:04,18.687601,73.201070,87.99,23.81
V007,2024-09-07 01:21:19,18.687495,73.201484,87.94,22.65
V007,2024-09-07 01:22:29,18.687938,73.202010,87.90,22.12
V007,2024-09-07 01:24:29,18.687700,73.201502,87.87,22.23
V007,2024-09-07 01:25:48,18.688471,73.201755,87.86,22.39
V007,2024-09-07 01:27:14,18.688823,73.201725,87.84,23.60
V007,2024-09-07 01:27:52,18.689199,73.202069,87.80,23.93
V007,2024-09-07 01:28:23,18.689761,73.203027,87.76,24.06
V007,2024-09-07 01:30:17,18.689875,73.203758,87.73,23.74
V007,2024-09-07 01:31:00,18.689869,73.204143,87.71,23.93
V007,2024-09-07 01:31:55,18.690625,73.204420,87.69,23.79
V007,2024-09-07 01:33:19,18.690852,73.204210,87.65,23.09
V007,2024-09-07 01:34:23,18.691097,73.204749,87.61,22.74
V007,2024-09-07 01:36:18,18.691637,73.205093,87.57,22.16
V007,2024-09-07 01:37:46,18.691668,73.205470,87.53,21.66
V007,2024-09-07 01:38:33,18.691901,73.205235,87.49,21.55
V007,2024-09-07 01:39:06,18.692437,73.205154,87.46,21.46
V007,2024-09-07 01:40:55,18.692573,73.206130,87.42,20.89
V007,2024-09-07 01:42:28,18.693341,73.206535,87.38,20.58
V007,2024-09-07 01:43:31,18.693118,73.207322,87.35,20.23
V007,2024-09-07 01:44:05,18.693959,73.207304,87.32,19.28
V007,2024-09-07 01:45:23,18.694379,73.208032,87.29,18.68
V007,2024-09-07 01:46:31,18.694198,73.207904,87.27,18.47
V007,2024-09-07 01:47:50,18.694263,73.208618,87.25,18.21
V007,2024-09-07 01:49:47,18.694175,73.208489,87.22,18.50
V007,2024-09-07 01:50:24,18.694896,73.208884,87.19,17.78
V007,2024-09-07 01:51:39,18.695398,73.208885,87.14,17.83
V007,2024-09-07 01:52:25,18.695704,73.209533,87.12,17.78
V007,2024-09-07 01:54:15,18.696001,73.210038,87.08,17.05
V007,2024-09-07 01:55:29,18.696000,73.210087,87.06,16.38
V007,2024-09-07 01:56:09,18.696378,73.209910,87.04,15.39
V007,2024-09-07 01:56:41,18.696471,73.210695,87.01,14.73
V007,2024-09-07 01:58:16,18.696751,73.210929,86.98,14.23
V007,2024-09-07 01:59:26,18.697201,73.211854,86.95,14.16
V007,2024-09-07 02:00:08,18.697749,73.211647,86.91,14.79
V007,2024-09-07 02:02:03,18.698065,73.212201,86.88,15.81
V007,2024-09-07 02:03:36,18.698768,73.212066,86.85,16.30
V007,2024-09-07 02:04:33,18.699564,73.212663,86.83,17.25
V007,2024-09-07 02:05:31,18.699346,73.212609,86.80,17.34
V007,2024-09-07 02:07:16,18.700297,73.213241,86.76,17.75
V007,2024-09-07 02:08:12,18.699722,73.213269,86.72,17.68
V007,2024-09-07 02:09:20,18.700065,73.213626,86.68,17.74
V007,2024-09-07 02:11:09,18.700412,73.213894,86.65,17.53
V007,2024-09-07 02:12:59,18.701104,73.214345,86.62,18.20
V007,2024-09-07 02:14:28,18.701917,73.214938,86.59,17.91
V007,2024-09-07 02:15:53,18.702177,73.214959,86.55,18.70
V007,2024-09-07 02:17:22,18.702574,73.215823,86.53,18.17
V007,2024-09-07 02:18:47,18.702254,73.215474,86.49,17.83
V007,2024-09-07 02:20:09,18.703044,73.215997,86.46,17.59
V007,2024-09-07 02:21:09,18.702861,73.215913,86.43,17.90
V007,2024-09-07 02:22:18,18.703081,73.216432,86.40,17.71
V007,2024-09-07 02:22:52,18.703477,73.216809,86.38,17.94
V007,2024-09-07 02:23:57,18.703651,73.216967,86.36,18.41
V007,2024-09-07 02:25:29,18.703958,73.217643,86.33,19.78
V007,2024-09-07 02:26:37,18.703970,73.218185,86.30,20.16
V007,2024-09-07 02:28:31,18.705030,73.218882,86.26,20.16
V007,2024-09-07 02:29:31,18.705213,73.219325,86.22,20.52
V007,2024-09-07 02:31:15,18.706045,73.218925,86.18,20.77
V007,2024-09-07 02:32:15,18.706484,73.219706,86.14,21.91
